| Index | Instruction       | Sig                                           | Arch | OpCode                        | Encoding | Prefix | OpCodeByte | L   | W   | PP   | MM   | x67   | ModR | ModRM | VsibReg | VsibSize | KMask | ZMask |
| 156   | bts               | bts r32/m,r32                                 | ANY  | 0F AB /r                      | MR       |        | AB         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 157   | bts               | bts r64/m,r64                                 | X64  | REX.W 0F AB /r                | MR       |        | AB         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 158   | bzhi              | bzhi r32,r32/m,r32                            | ANY  | VEX.LZ.0F38.W0 F5 /r          | RMV      | VEX    | F5         | 128 | W0  |      | 0F38 | false | r    |       |         | -1       | false | false |
| 159   | bzhi              | bzhi r64,r64/m,r64                            | X64  | VEX.LZ.0F38.W1 F5 /r          | RMV      | VEX    | F5         | 128 | W1  |      | 0F38 | false | r    |       |         | -1       | false | false |
| 160   | call              | call rel16                                    | X86  | 66 E8 cw                      | D        |        | E8         |     |     | 66   |      | false |      |       |         | -1       | false | false |
| 161   | call              | call rel32                                    | ANY  | E8 cd                         | D        |        | E8         |     |     |      |      | false |      |       |         | -1       | false | false |
| 162   | call              | call r16/m                                    | X86  | 66 FF /2                      | M        |        | FF         |     |     | 66   |      | false | 2    |       |         | -1       | false | false |
| 163   | call              | call r32/m                                    | X86  | FF /2                         | M        |        | FF         |     |     |      |      | false | 2    |       |         | -1       | false | false |
| 164   | call              | call r64/m                                    | X64  | FF /2                         | M        |        | FF         |     |     |      |      | false | 2    |       |         | -1       | false | false |
| 165   | cbw               | cbw [ax]                                      | ANY  | 66 98                         | NONE     |        | 98         |     |     | 66   |      | false |      |       |         | -1       | false | false |
| 166   | cdq               | cdq [edx],[eax]                               | ANY  | 99                            | NONE     |        | 99         |     |     |      |      | false |      |       |         | -1       | false | false |
