# al.exe options - https://docs.microsoft.com/en-us/dotnet/framework/tools/al-exe-assembly-linker
----------------------------------------------------------------------------------------------------------
| Name   | Meaning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1060 | Cryptographic failure while creating hashes—reason An error occurred while creating the file hashes for a multifile assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| al1061 | Cannot set option 'option' because 'reason' The value specified for this option is invalid for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| al1062 | Module 'module' was specified multiple times; it will only be included once This warning is generated when the same source, input, or module file is specified multiple times on the command line. Make sure that you specify the file name only once.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1063 | Public type 'type' is defined in multiple locations in this assembly: 'file1' and 'file2' The same type was found in more than one module in the assembly. Only one version of each type may be present in an assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1064 | Cannot specify multiple /bugreport options. Only one /bugreport option is allowed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| al1065 | File name 'File Name' is too long or invalid The specified file name is longer than the maximum allowed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1066 | Character 'character' is not allowed on the command line or in response files An invalid character was found, either on the command line or in a file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1067 | 'filename' is a binary file instead of a text file The file is in binary format instead of text.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| al1068 | Module 'ModuleName' is already defined in this assembly. Each linked resource and module must have a unique file name. The module occurs more than once in this assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1069 | Cannot create short file name 'filename' when a long file name with the same short file name already exists The current file has a name that is the short version of a file name that already exists. For example, compiling LongFileName.cs and then recompiling with the name LongFi~1.cs will cause a compiler error similar to this. If the compiler output files that have long names were deleted, but the analogous linker files remained, this error might occur.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1070 | Agnostic assembly cannot have a processor-specific module 'Module Name' If you are building using /platform:agnostic (or you don't specify /platform ), an error will be generated if you try to add a module (using /addmodule ) that is not agnostic. This is like trying to link an i386 obj file to an ia64 obj. The main source of non-agnostic modules is C++. If you are using /addmodule with a C++ module, you may have to modify your build scripts to specify the appropriate /platform setting.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1072 | Assembly and module 'Module Name' cannot target different processors You cannot link an assembly and a module that are targeted for different processors, because the result has to run on a single processor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| al1073 | Referenced assembly 'assembly' targets a different processor You cannot link assemblies that are targeted for different processors, because the result has to run on a single processor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1074 | Module name 'Module Name' stored in 'File Name' must match its file name This is required of the linker. To resolve this problem, make the two names match.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1075 | Delay signing was requested, but no key was given When an assembly is delay signed, the compiler does not compute and store the signature, but reserves space in the file so the signature can be added later. For example, using /delaysign+ enables a tester to put the assembly in the global cache. After testing, you can fully sign the assembly by adding the private key to the assembly by using the Assembly Linker utility.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1076 | Type 'type' is forwarded to multiple assemblies: 'assembly' and 'assembly'. A type can only be forwarded to one assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1077 | Public type 'type' is defined in 'assembly' and forwarded to 'assembly'. There is a duplicate public type in the assembly being generated. One is a valid type definition and the other is a type forwarder.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
