# CoreApi31 - https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                           | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System. Service Process Namespace                              | The namespace provides classes that allow you to implement, install, and control Windows service applications. Services are long-running executables that run without a user interface. Implementing a service involves inheriting from the class and defining specific behavior to process when start, stop, pause, and continue commands are passed in, as well as custom behavior and actions to take when the system shuts down.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System. Service Process Namespace                              | The System.ServiceProcess namespace provides classes that allow you to implement, install, and control Windows service applications. Services are long-running executables that run without a user interface. Implementing a service involves inheriting from the ServiceBase class and defining specific behavior to process when start, stop, pause, and continue commands are passed in, as well as custom behavior and actions to take when the system shuts down.                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Text Namespace                                          | The namespace contains classes that represent ASCII and Unicode character encodings; abstract base classes for converting blocks of characters to and from blocks of bytes; and a helper class that manipulates and formats objects without creating intermediate instances of .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Text Namespace                                          | The System.Text namespace contains classes that represent ASCII and Unicode character encodings; abstract base classes for converting blocks of characters to and from blocks of bytes; and a helper class that manipulates and formats String objects without creating intermediate instances of String.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Text. Encodings. Web Namespace                          | The namespace contains a base class that represent a web encoder; subclasses that represent HTML, JavaScript, and Url character encoding; and a class that represents a filter for allowing only certain characters, character ranges, or code points to be encoded.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Text. Encodings. Web Namespace                          | The System.Text.Encodings.Web namespace contains a base class that represent a web encoder; subclasses that represent HTML, JavaScript, and Url character encoding; and a class that represents a filter for allowing only certain characters, character ranges, or code points to be encoded.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Text. Json Namespace                                    | The System.Text.Json namespace provides high-performance, low-allocating, and standards-compliant capabilities to process JavaScript Object Notation (JSON), which includes serializing objects to JSON text and deserializing JSON text to objects, with UTF-8 support built-in. It also provides types to read and write JSON text encoded as UTF-8, and to create an in-memory document object model (DOM) for random access of the JSON elements within a structured view of the data.                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Text. Json Namespace                                    | The System.Text.Json namespace provides high-performance, low-allocating, and standards-compliant capabilities to process JavaScript Object Notation (JSON), which includes serializing objects to JSON text and deserializing JSON text to objects, with UTF-8 support built-in. It also provides types to read and write JSON text encoded as UTF-8, and to create an in-memory document object model (DOM) for random access of the JSON elements within a structured view of the data.                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Text. Json. Serialization Namespace                     | The System.Text.Json.Serialization namespace contains classes that are used to customize and extend serialization and deserialization of objects into JSON formatted documents or streams, either via an attribute model or via type converters.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Text. Json. Serialization Namespace                     | The System.Text.Json.Serialization namespace contains classes that are used to customize and extend serialization and deserialization of objects into JSON formatted documents or streams, either via an attribute model or via type converters.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Text. Regular Expressions Namespace                     | The namespace contains classes that provide access to the .NET Framework regular expression engine. The namespace provides regular expression functionality that may be used from any platform or language that runs within the Microsoft .NET Framework. In addition to the types contained in this namespace, the class enables you to determine whether a particular string conforms to a regular expression pattern.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| System.Text. Regular Expressions Namespace                     | The System.Text.RegularExpressions namespace contains classes that provide access to the .NET Framework regular expression engine. The namespace provides regular expression functionality that may be used from any platform or language that runs within the Microsoft .NET Framework. In addition to the types contained in this namespace, the RegexStringValidator class enables you to determine whether a particular string conforms to a regular expression pattern.                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Text. Unicode Namespace                                 | The System.Text.Unicode namespace contains types that let you retrieve and work with named Unicode ranges.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Text. Unicode Namespace                                 | The namespace contains types that let you retrieve and work with named Unicode ranges.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System. Threading Namespace                                    | The namespace provides classes and interfaces that enable multithreaded programming. In addition to classes for synchronizing thread activities and access to data (, , , , and so on), this namespace includes a class that allows you to use a pool of system-supplied threads, and a class that executes callback methods on thread pool threads.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System. Threading Namespace                                    | The System.Threading namespace provides classes and interfaces that enable multithreaded programming. In addition to classes for synchronizing thread activities and access to data (Mutex, Monitor, Interlocked, AutoResetEvent, and so on), this namespace includes a ThreadPool class that allows you to use a pool of system-supplied threads, and a Timer class that executes callback methods on thread pool threads.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System. Threading. Channels Namespace                          | Provides a set of synchronization data structures for passing data between producers and consumers asynchronously.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System. Threading. Channels Namespace                          | Provides a set of synchronization data structures for passing data between producers and consumers asynchronously.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System. Threading. Tasks Namespace                             | The System.Threading.Tasks namespace provides types that simplify the work of writing concurrent and asynchronous code. The main types are Task which represents an asynchronous operation that can be waited on and cancelled, and Task&lt;TResult&gt;, which is a task that can return a value. The TaskFactory class provides static methods for creating and starting tasks, and the TaskScheduler class provides the default thread scheduling infrastructure.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System. Threading. Tasks Namespace                             | The System.Threading.Tasks namespace provides types that simplify the work of writing concurrent and asynchronous code. The main types are which represents an asynchronous operation that can be waited on and cancelled, and , which is a task that can return a value. The class provides static methods for creating and starting tasks, and the class provides the default thread scheduling infrastructure.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System. Threading. Tasks. Dataflow Namespace                   | The namespace provides an actor-based programming model that supports in-process message passing for coarse-grained dataflow and pipelining tasks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System. Threading. Tasks. Dataflow Namespace                   | The System.Threading.Tasks.Dataflow namespace provides an actor-based programming model that supports in-process message passing for coarse-grained dataflow and pipelining tasks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System. Threading. Tasks. Sources Namespace                    | Provides types for creating and optimized to minimize allocations. The and interfaces can be implemented on objects used to provide the backing implementations for and , and can be used to implement the core logic necessary to support the task lifecycle. These are advanced types and need only be used in specialized situations where performance is paramount.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System. Threading. Tasks. Sources Namespace                    | Provides types for creating ValueTask and ValueTask&lt;TResult&gt; optimized to minimize allocations. The IValueTaskSource and IValueTaskSource&lt;TResult&gt; interfaces can be implemented on objects used to provide the backing implementations for ValueTask and ValueTask&lt;TResult&gt;, and ManualResetValueTaskSourceCore&lt;TResult&gt; can be used to implement the core logic necessary to support the task lifecycle. These are advanced types and need only be used in specialized situations where performance is paramount.                                                                                                                                                                                                                                                                                                                                                                                                |
| System. Timers Namespace                                       | The namespace provides the component, which allows you to raise an event on a specified interval.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System. Timers Namespace                                       | The System.Timers namespace provides the Timer component, which allows you to raise an event on a specified interval.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System. Transactions Namespace                                 | The namespace contains classes that allow you to write your own transactional application and resource manager. Specifically, you can create and participate in a transaction (local or distributed) with one or multiple participants.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System. Transactions Namespace                                 | The System.Transactions namespace contains classes that allow you to write your own transactional application and resource manager. Specifically, you can create and participate in a transaction (local or distributed) with one or multiple participants.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System. Web Namespace                                          | The namespace supplies classes and interfaces that enable browser-server communication. This namespace includes the class, which provides extensive information about the current HTTP request; the class, which manages HTTP output to the client; and the class, which provides access to server-side utilities and processes. also includes classes for cookie manipulation, file transfer, exception information, and output cache control.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System. Web Namespace                                          | The System.Web namespace supplies classes and interfaces that enable browser-server communication. This namespace includes the HttpRequest class, which provides extensive information about the current HTTP request; the HttpResponse class, which manages HTTP output to the client; and the HttpServerUtility class, which provides access to server-side utilities and processes. System.Web also includes classes for cookie manipulation, file transfer, exception information, and output cache control.                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows Namespace                                       | Provides several important Windows Presentation Foundation (WPF) base element classes, various classes that support the WPF property system and event logic, and other types that are more broadly consumed by the WPF core and framework.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Windows Namespace                                       | Provides several important Windows Presentation Foundation (WPF) base element classes, various classes that support the WPF property system and event logic, and other types that are more broadly consumed by the WPF core and framework.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Windows.Annotations Namespace                           | Provides classes to support user-created annotations on content displayed in WPF document viewing controls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Annotations Namespace                           | Provides classes to support user-created annotations on content displayed in WPF document viewing controls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Annotations. Storage Namespace                  | Provides types that define the storage architecture and mediums to save and retrieve user-created annotations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Windows.Annotations. Storage Namespace                  | Provides types that define the storage architecture and mediums to save and retrieve user-created annotations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Windows.Automation Namespace                            | Provides support for Windows Presentation Foundation (WPF) UI Automation clients.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Windows.Automation Namespace                            | Provides support for Windows Presentation Foundation (WPF) UI Automation clients.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Windows.Automation. Peers Namespace                     | Defines the base class and a set of types that derive from it and that correspond to Microsoft .NET Framework controls. Each exposes the corresponding Microsoft .NET Framework control to Microsoft UI Automation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Windows.Automation. Peers Namespace                     | Defines the AutomationPeer base class and a set of types that derive from it and that correspond to Microsoft .NET Framework controls. Each AutomationPeer exposes the corresponding Microsoft .NET Framework control to Microsoft UI Automation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Windows.Automation. Provider Namespace                  | Provides APIs for creating UI Automation providers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Windows.Automation. Provider Namespace                  | Provides APIs for creating UI Automation providers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Windows.Automation. Text Namespace                      | Contains enumerations that specify text formatting and related behavior for Windows Presentation Foundation (WPF) UI automation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Automation. Text Namespace                      | Contains enumerations that specify text formatting and related behavior for Windows Presentation Foundation (WPF) UI automation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Baml2006 Namespace                              | Contains reader and writer classes that can consume XAML in BAML form.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Windows.Baml2006 Namespace                              | Contains reader and writer classes that can consume XAML in BAML form.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Windows.Controls Namespace                              | Provides classes to create elements, known as controls, that enable a user to interact with an application. The control classes are at the core of the user's experience with any application because they allow a user to view, select, or enter data or other information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
