Seq      | Mnemonic
1193     | Vpermt2w
1194     | Vpermw
1195     | Vpexpandb
1196     | Vpexpandd
1197     | Vpexpandq
1198     | Vpexpandw
1199     | Vpextrb
1200     | Vpextrd
1201     | Vpextrq
1202     | Vpextrw
1203     | Vpgatherdd
1204     | Vpgatherdq
1205     | Vpgatherqd
1206     | Vpgatherqq
1207     | Vphaddbd
1208     | Vphaddbq
1209     | Vphaddbw
1210     | Vphaddd
1211     | Vphadddq
1212     | Vphaddsw
1213     | Vphaddubd
1214     | Vphaddubq
1215     | Vphaddubw
1216     | Vphaddudq
1217     | Vphadduwd
1218     | Vphadduwq
1219     | Vphaddw
1220     | Vphaddwd
1221     | Vphaddwq
1222     | Vphminposuw
1223     | Vphsubbw
1224     | Vphsubd
1225     | Vphsubdq
1226     | Vphsubsw
1227     | Vphsubw
1228     | Vphsubwd
1229     | Vpinsrb
1230     | Vpinsrd
1231     | Vpinsrq
1232     | Vpinsrw
1233     | Vplzcntd
1234     | Vplzcntq
1235     | Vpmacsdd
1236     | Vpmacsdqh
1237     | Vpmacsdql
1238     | Vpmacssdd
1239     | Vpmacssdqh
1240     | Vpmacssdql
1241     | Vpmacsswd
1242     | Vpmacssww
1243     | Vpmacswd
1244     | Vpmacsww
1245     | Vpmadcsswd
1246     | Vpmadcswd
1247     | Vpmadd52huq
1248     | Vpmadd52luq
1249     | Vpmaddubsw
1250     | Vpmaddwd
1251     | Vpmaskmovd
1252     | Vpmaskmovq
1253     | Vpmaxsb
1254     | Vpmaxsd
1255     | Vpmaxsq
1256     | Vpmaxsw
1257     | Vpmaxub
1258     | Vpmaxud
1259     | Vpmaxuq
1260     | Vpmaxuw
1261     | Vpminsb
1262     | Vpminsd
1263     | Vpminsq
1264     | Vpminsw
1265     | Vpminub
1266     | Vpminud
1267     | Vpminuq
1268     | Vpminuw
1269     | Vpmovb2m
1270     | Vpmovd2m
1271     | Vpmovdb
1272     | Vpmovdw
1273     | Vpmovm2b
1274     | Vpmovm2d
1275     | Vpmovm2q
1276     | Vpmovm2w
1277     | Vpmovmskb
